extroversion,visual_time,visual_N,textual_time,textual_N,N_objects,N_words,N_deviations
10,0.212174415588379,51,0.000330924987793,51,3,7,1
10,0.645474672317505,52,0.000339269638062,52,2,6,1
10,0.199217319488525,53,0.000730514526367,53,2,6,1
10,0.179468154907227,54,0.000458717346191,54,2,6,1
10,0.212881803512573,55,0.000332117080688,55,2,6,1
10,0.205161571502686,56,0.000307321548462,56,2,6,1
10,0.201344966888428,57,0.000309467315674,57,2,6,1
10,0.19014048576355,58,0.00042462348938,58,2,6,1
10,1.61301183700562,59,2.12192535400391E-05,59,3,4,2
10,1.71068501472473,60,3.91006469726562E-05,60,1,4,2
10,1.6838743686676,61,2.09808349609375E-05,61,1,4,2
10,0.90558385848999,62,2.38418579101562E-05,62,1,4,2
10,0.281466245651245,63,2.14576721191406E-05,63,1,4,2
10,0.254735231399536,64,9.39369201660156E-05,64,1,4,2
10,0.240519285202026,65,2.43186950683594E-05,65,1,4,2
10,0.462563276290894,66,2.59876251220703E-05,66,1,4,2
10,0.259557962417603,67,2.71797180175781E-05,67,1,4,2
10,0.463629007339478,68,2.24113464355469E-05,68,1,4,2
10,0.262461662292481,69,2.50339508056641E-05,69,1,4,2
10,0.932112693786621,70,0.000313758850098,70,3,7,2
10,0.295469284057617,71,0.000421047210693,71,3,7,2
10,0.417331218719482,72,0.000351905822754,72,3,7,2
10,0.251735210418701,73,0.000460386276245,73,3,7,2
10,0.447364568710327,74,0.000287771224976,74,3,7,2
10,0.277617454528809,75,0.000349044799805,75,3,7,2
10,0.395828485488892,76,0.00038480758667,76,3,7,2
10,0.28071403503418,77,0.000363826751709,77,3,7,2
10,0.242971181869507,78,0.000389099121094,78,3,7,2
10,0.288197755813599,79,0.000303506851196,79,3,7,2
10,0.267240285873413,80,0.000365257263184,80,3,7,2
10,0.322703123092651,81,0.000238180160522,81,3,7,2
10,0.262626171112061,82,0.00057578086853,82,3,7,2
10,0.270448446273804,83,0.000363349914551,83,2,6,2
10,0.266090631484985,84,0.000487565994263,84,2,6,2
10,0.270390033721924,85,0.001343965530396,85,2,6,2
10,0.24353551864624,86,0.000491380691528,86,2,6,2
10,0.41533899307251,87,0.000545501708984,87,2,6,2
10,0.272135496139526,88,0.000344753265381,88,2,6,2
10,0.435826778411865,89,0.000432252883911,89,2,6,2
10,0.233662128448486,90,0.000302314758301,90,4,8,2
10,0.356141328811645,91,0.000360488891602,91,4,8,2
10,0.228466749191284,92,0.000406503677368,92,4,8,2
10,0.224941968917847,93,0.000292062759399,93,4,8,2
10,0.23030161857605,94,0.00032901763916,94,4,8,2
10,0.238130569458008,95,0.000411748886108,95,4,8,2
10,0.226994037628174,96,0.000329494476318,96,2,6,2
10,0.22148609161377,97,0.000333547592163,97,2,6,2
10,0.231076240539551,98,0.000343084335327,98,4,8,2
10,0.222635269165039,99,0.000369071960449,99,4,8,2
10,0.236831665039062,100,0.000428438186646,100,4,8,2
10,0.230824947357178,101,0.000424385070801,101,4,8,2
10,0.206615924835205,102,0.000336885452271,102,4,8,2
10,0.248117923736572,103,0.000462532043457,103,4,8,2
10,0.233042240142822,104,0.000448226928711,104,4,8,2
10,0.247339248657227,105,0.000416994094849,105,4,8,2
10,0.233788251876831,106,0.000371932983398,106,4,8,2
10,0.217071294784546,107,0.000308752059937,107,2,6,2
10,0.231985807418823,108,0.000310659408569,108,2,6,2
10,0.205186128616333,109,0.000326871871948,109,2,6,2
10,0.233715772628784,110,0.000800132751465,110,2,6,2
10,0.220781326293945,111,0.000559568405151,111,2,6,2
10,0.214439392089844,112,0.000314712524414,112,2,6,2
10,0.199334144592285,113,0.000334978103638,113,2,6,2
10,0.190527439117432,114,0.000356674194336,114,2,6,2
10,0.194308996200562,115,0.000290155410767,115,2,6,2
10,0.357606172561645,116,0.000299215316772,116,2,6,2
10,0.216010332107544,117,0.000358104705811,117,2,6,2
10,0.286771535873413,118,0.000716686248779,118,2,6,2
10,0.221018075942993,119,0.000317811965942,119,2,6,2
10,0.345855712890625,120,0.000373601913452,120,2,6,2
10,0.723631381988525,121,0.000282287597656,121,2,6,2
10,0.207890510559082,122,0.000333786010742,122,2,6,2
10,0.183709144592285,123,0.000383377075195,123,2,6,2
10,0.188226699829102,124,0.000338792800903,124,2,6,2
10,0.191043138504028,125,0.000573396682739,125,2,6,2
10,0.210425853729248,126,0.000403642654419,126,2,6,2
10,0.19462513923645,127,0.000329256057739,127,2,6,2
10,0.178940296173096,128,0.000336408615112,128,2,6,2
10,0.206997156143188,129,0.000506639480591,129,2,6,2
10,0.180830478668213,130,0.000384330749512,130,3,7,2
10,0.216598033905029,131,0.000295639038086,131,3,7,2
10,0.647459745407105,132,0.000561475753784,132,3,7,2
10,0.197725534439087,133,0.000419616699219,133,3,7,2
10,0.225447416305542,134,0.000370025634766,134,3,7,2
10,0.215439319610596,135,0.000347852706909,135,3,7,2
10,0.190213918685913,136,0.000396013259888,136,4,8,2
10,0.202542781829834,137,0.000872135162354,137,4,8,2
10,0.185266733169556,138,0.000309467315674,138,2,6,2
10,0.222973108291626,139,0.000404834747314,139,2,6,2
10,0.174838542938232,140,0.00039267539978,140,3,7,2
10,0.190566301345825,141,0.000394821166992,141,3,7,2
10,0.185415029525757,142,0.000349998474121,141,3,0,2
10,0.198206186294556,143,0.000370740890503,141,3,0,2
10,0.178271055221558,144,0.000398874282837,141,3,0,2
10,0.174647092819214,145,0.000372409820557,141,3,0,2
10,0.184555053710938,146,0.000327348709106,141,3,0,2
10,0.17499852180481,147,0.000397920608521,141,3,0,2
10,0.183395862579346,148,0.000778675079346,141,3,0,2
10,0.180230617523193,149,0.000348806381226,141,3,0,2
10,0.168100357055664,150,0.000305652618408,141,3,0,2
10,0.173306703567505,151,0.000723123550415,141,3,0,2
10,0.225332260131836,152,0.000311374664307,141,2,0,2
10,0.178381204605103,153,0.000298738479614,141,2,0,2
10,0.159809827804565,154,0.000521421432495,141,2,0,2
10,0.205934762954712,155,0.000385522842407,141,2,0,2
10,0.168550968170166,156,0.000470876693726,141,2,0,2
10,0.172012090682983,157,0.000377416610718,141,2,0,2
