cmd_vel_lin_x,cmd_vel_ang_z
0.270328,-0.443339
0.201307,-0.519484
0.461934,-0.158448
0.440995,-0.098813
0.415099,-0.249971
0.322488,-0.328132
0.213893,-0.517690
0.281788,-0.513125
-0.003029,-0.583162
0.028436,-0.586655
-0.002343,-0.600000
-0.009359,-0.600000
-0.005888,-0.376165
-0.009058,-0.362932
0.011020,-0.257756
0.000000,0.000000
0.044502,-0.143861
0.090494,0.047664
0.139818,0.141023
0.237365,0.242664
0.288955,0.302944
0.346155,-0.024105
0.303094,-0.103755
0.328928,-0.275291
0.404831,-0.300566
0.450556,-0.488397
0.500000,-0.211044
0.484970,-0.445500
0.500000,-0.252472
0.500000,-0.166128
0.500000,-0.094887
0.500000,-0.008652
0.500000,0.050264
0.500000,0.174605
0.482391,0.344183
0.492621,0.483191
0.500000,0.344488
0.487384,0.517002
0.496910,0.500751
0.490984,0.503001
0.480457,0.502515
0.438318,0.516854
0.422284,0.515540
0.406225,0.517197
0.365151,0.512538
0.374139,0.507389
0.396291,0.440931
0.357294,0.521817
0.321917,0.523778
0.329727,0.507775
0.248393,0.523826
0.218530,0.523346
0.183725,0.525293
0.313654,0.495118
0.211165,0.527288
0.289486,0.507523
0.227374,0.526437
0.211768,0.525156
0.225775,0.519398
0.267331,0.539412
0.372607,0.319794
0.340755,0.528556
0.423520,0.378849
0.466271,0.228092
0.450875,0.469126
0.460137,0.513592
0.500000,0.291824
0.456722,0.535179
0.499650,0.493666
0.500000,0.258510
0.500000,0.214176
0.500000,0.280383
0.485051,0.367676
0.479144,0.129411
0.461202,-0.000068
0.494575,-0.109707
0.483145,-0.297595
0.500000,-0.144327
0.500000,-0.199652
0.500000,-0.192152
0.500000,-0.348124
0.500000,-0.384047
0.500000,-0.181535
0.500000,-0.298040
0.500000,-0.132089
0.500000,-0.316356
0.500000,-0.171831
0.500000,-0.301736
0.500000,-0.184386
0.500000,-0.264548
0.500000,-0.225596
0.500000,-0.118968
0.500000,0.018622
0.500000,0.175777
0.250095,-0.246640
0.042365,-0.093174
-0.016623,-0.493555
-0.045353,-0.290857
-0.024332,-0.516367
-0.021664,-0.512188
-0.057569,-0.509191
-0.049426,-0.510521
-0.044402,-0.514347
-0.032575,-0.518578
-0.044146,-0.511981
-0.034080,-0.511739
-0.031834,-0.511938
-0.033098,-0.502598
-0.013743,-0.514241
-0.005844,-0.531754
-0.014424,-0.508469
-0.004784,-0.508790
0.071104,-0.519341
0.174034,-0.501513
0.228087,-0.236032
0.289219,-0.149619
0.362318,0.057917
0.423551,0.269557
0.500000,0.461155
0.483361,0.502490
0.488322,0.505899
0.457400,0.515715
0.459089,0.522912
0.411952,0.528746
0.420978,0.511638
0.384424,0.526008
0.368382,0.523197
0.356239,0.521537
0.331836,0.527225
0.325466,0.521115
0.323635,0.517981
0.316792,0.521555
0.321539,0.516482
0.321901,0.519730
0.338230,0.514296
0.376128,0.514398
0.414708,0.514770
0.421255,0.488280
0.423763,0.413287
0.426346,0.330116
0.421345,0.240082
0.409486,0.129025
0.397820,0.074167
0.381475,0.016312
0.361713,-0.104135
0.348174,-0.176623
0.324725,-0.285071
0.298275,-0.308163
0.269948,-0.433765
0.234696,-0.504257
0.205911,-0.504984
0.178038,-0.506527
0.150566,-0.508338
0.126506,-0.510824
0.107591,-0.510314
0.090086,-0.511046
0.069224,-0.513686
0.048213,-0.512368
0.006184,-0.515635
-0.005751,-0.524440
-0.006926,-0.521994
-0.008186,-0.519596
-0.009116,-0.517287
-0.010210,-0.514650
-0.011037,-0.512987
-0.033642,-0.509171
-0.034305,-0.511713
-0.034286,-0.509566
-0.033914,-0.507766
-0.040177,-0.506530
-0.037652,-0.506971
-0.035317,-0.507534
-0.031667,-0.507145
-0.045431,-0.503878
-0.035813,-0.505330
