frame,global_plan_position_x,global_plan_position_y,global_plan_orientation_z,global_plan_orientation_w,ID

map,0.585457,-11.636365,0.784595,0.620009,42
map,0.574530,-11.590382,0.766853,0.641823,42
map,0.572767,-11.565443,0.733440,0.679754,42
map,0.570737,-11.540526,0.739577,0.673072,42
map,0.568070,-11.515669,0.747516,0.664244,42
map,0.564859,-11.490876,0.756759,0.653694,42
map,0.560803,-11.466208,0.767297,0.641292,42
map,0.555986,-11.441675,0.778972,0.627058,42
map,0.550126,-11.417372,0.791498,0.611172,42
map,0.543342,-11.393311,0.804752,0.593612,42
map,0.535368,-11.369616,0.818297,0.574795,42
map,0.526384,-11.346286,0.826318,0.563204,42
map,0.517088,-11.323078,0.828155,0.560499,42
map,0.507800,-11.299868,0.829228,0.558910,42
map,0.498326,-11.276732,0.831374,0.555714,42
map,0.488682,-11.253667,0.832841,0.553513,42
map,0.478964,-11.230634,0.833999,0.551767,42
map,0.469127,-11.207650,0.834677,0.550740,42
map,0.459295,-11.184665,0.835214,0.549925,42
map,0.449369,-11.161720,0.835908,0.548870,42
map,0.439421,-11.138784,0.836684,0.547686,42
map,0.429365,-11.115896,0.837369,0.546638,42
map,0.419302,-11.093011,0.837777,0.546013,42
map,0.409178,-11.070152,0.838145,0.545447,42
map,0.399054,-11.047294,0.838583,0.544774,42
map,0.388856,-11.024468,0.839424,0.543478,42
map,0.378590,-11.001674,0.839867,0.542793,42
map,0.368318,-10.978881,0.840146,0.542361,42
map,0.358006,-10.956107,0.840418,0.541939,42
map,0.347688,-10.933335,0.840745,0.541432,42
map,0.337321,-10.910586,0.841133,0.540829,42
map,0.326938,-10.887845,0.841439,0.540353,42
map,0.316519,-10.865119,0.841636,0.540045,42
map,0.306102,-10.842393,0.841851,0.539710,42
map,0.295648,-10.819684,0.842116,0.539296,42
map,0.285186,-10.796978,0.842415,0.538829,42
map,0.274681,-10.774292,0.842805,0.538219,42
map,0.264155,-10.751616,0.842952,0.537989,42
map,0.253624,-10.728942,0.843142,0.537691,42
map,0.243066,-10.706282,0.843363,0.537345,42
map,0.232498,-10.683624,0.843587,0.536992,42
map,0.221902,-10.660981,0.843753,0.536732,42
map,0.211306,-10.638338,0.843886,0.536523,42
map,0.200687,-10.615705,0.844048,0.536268,42
map,0.190065,-10.593074,0.844238,0.535968,42
map,0.179414,-10.570457,0.844599,0.535399,42
map,0.168730,-10.547854,0.845245,0.534379,42
map,0.157970,-10.525289,0.846157,0.532934,42
map,0.147132,-10.502760,0.847294,0.531123,42
map,0.136179,-10.480287,0.848324,0.529477,42
map,0.125166,-10.457843,0.850044,0.526711,42
map,0.113922,-10.435514,0.852838,0.522176,42
map,0.102433,-10.413310,0.854972,0.518675,42
map,0.090824,-10.391170,0.856742,0.515745,42
map,0.079033,-10.369124,0.859961,0.510359,42
map,0.066872,-10.347282,0.864438,0.502740,42
map,0.054309,-10.325668,0.868702,0.495336,42
map,0.041408,-10.304254,0.871616,0.490189,42
map,0.028338,-10.282943,0.875635,0.482973,42
map,0.014737,-10.261966,0.880739,0.473601,42
map,0.000768,-10.241232,0.885233,0.465147,42
map,-0.013626,-10.220792,0.890114,0.455737,42
map,-0.028460,-10.200669,0.895376,0.445311,42
map,-0.043793,-10.180923,0.901078,0.433658,42
map,-0.059651,-10.161596,0.904882,0.425662,42
map,-0.075674,-10.142406,0.909320,0.416098,42
map,-0.092333,-10.123765,0.915664,0.401945,42
map,-0.109515,-10.105605,0.919171,0.393859,42
map,-0.126820,-10.087564,0.922941,0.384940,42
map,-0.144692,-10.070082,0.928464,0.371423,42
map,-0.163022,-10.053081,0.931121,0.364711,42
map,-0.181391,-10.036122,0.933695,0.358069,42
map,-0.200197,-10.019651,0.937898,0.346911,42
map,-0.219354,-10.003588,0.939101,0.343641,42
map,-0.238388,-9.987380,0.939872,0.341526,42
map,-0.257688,-9.971490,0.942422,0.334426,42
map,-0.277203,-9.955864,0.942840,0.333247,42
map,-0.296583,-9.940070,0.943081,0.332563,42
map,-0.316143,-9.924500,0.944639,0.328110,42
map,-0.335817,-9.909076,0.944690,0.327964,42
map,-0.355386,-9.893518,0.944816,0.327602,42
map,-0.375084,-9.878124,0.945800,0.324749,42
map,-0.394840,-9.862803,0.946171,0.323666,42
map,-0.414608,-9.847500,0.946521,0.322641,42
map,-0.434430,-9.832265,0.946912,0.321494,42
map,-0.454272,-9.817057,0.947132,0.320844,42
map,-0.474136,-9.801877,0.948218,0.317621,42
map,-0.494183,-9.786940,0.948765,0.315982,42
map,-0.514152,-9.771897,0.947920,0.318508,42
map,-0.534038,-9.756748,0.950130,0.311854,42
map,-0.554421,-9.742271,0.951297,0.308275,42
map,-0.574533,-9.727423,0.948384,0.317124,42
map,-0.594362,-9.712197,0.950793,0.309828,42
map,-0.614922,-9.697974,0.951989,0.306132,42
map,-0.634984,-9.683059,0.946648,0.322269,42
map,-0.654530,-9.667471,0.941434,0.337197,42
