frame,plan_position_x,plan_position_y,plan_orientation_z,plan_orientation_w,ID
map,-4.465329,-3.678348,0.663727,0.747975,2
map,-4.462353,-3.653526,0.663719,0.747982,2
map,-4.459381,-3.628704,0.663718,0.747983,2
map,-4.456406,-3.603881,0.663722,0.747979,2
map,-4.453434,-3.579059,0.663734,0.747969,2
map,-4.450460,-3.554236,0.663753,0.747952,2
map,-4.447490,-3.529413,0.663778,0.747930,2
map,-4.444520,-3.504591,0.663795,0.747914,2
map,-4.441553,-3.479767,0.663835,0.747879,2
map,-4.438588,-3.454943,0.663881,0.747838,2
map,-4.435627,-3.430119,0.663911,0.747812,2
map,-4.435627,-3.430119,0.755453,0.655203,2

map,-4.244989,-8.510049,0.717729,0.696323,3
map,-4.246384,-8.464005,0.712436,0.701737,3
map,-4.246065,-8.439007,0.702818,0.711369,3
map,-4.245780,-8.414008,0.704228,0.709974,3
map,-4.245658,-8.389009,0.705831,0.708380,3
map,-4.245599,-8.364008,0.707169,0.707044,3
map,-4.245667,-8.339008,0.708631,0.705580,3
map,-4.245815,-8.314009,0.710009,0.704192,3
map,-4.246078,-8.289010,0.711467,0.702719,3
map,-4.246433,-8.264013,0.712894,0.701272,3
map,-4.246900,-8.239017,0.714371,0.699768,3
map,-4.247466,-8.214024,0.715822,0.698282,3
map,-4.248140,-8.189033,0.717302,0.696762,3
map,-4.248918,-8.164044,0.718759,0.695259,3
map,-4.249802,-8.139060,0.720231,0.693735,3
map,-4.250792,-8.114080,0.721681,0.692226,3
map,-4.251884,-8.089104,0.723135,0.690707,3
map,-4.253084,-8.064133,0.724567,0.689204,3
map,-4.254384,-8.039166,0.725998,0.687697,3
map,-4.255791,-8.014206,0.727409,0.686205,3
map,-4.257296,-7.989251,0.728814,0.684712,3
map,-4.258908,-7.964303,0.730201,0.683233,3
map,-4.260615,-7.939362,0.731579,0.681757,3
map,-4.262429,-7.914427,0.732942,0.680291,3
map,-4.264336,-7.889500,0.734297,0.678829,3
map,-4.266348,-7.864582,0.735637,0.677375,3
map,-4.268452,-7.839670,0.736971,0.675924,3
map,-4.270660,-7.814768,0.738294,0.674479,3
map,-4.272960,-7.789874,0.739543,0.673109,3
map,-4.275353,-7.764988,0.740327,0.672247,3
map,-4.277768,-7.740106,0.740696,0.671841,3
map,-4.280216,-7.715226,0.741029,0.671473,3
map,-4.282681,-7.690348,0.741325,0.671147,3
map,-4.285172,-7.665472,0.741588,0.670855,3
map,-4.287676,-7.640598,0.741816,0.670603,3
map,-4.290201,-7.615726,0.742013,0.670386,3
map,-4.292734,-7.590854,0.742178,0.670203,3
map,-4.295284,-7.565985,0.742315,0.670051,3
map,-4.297837,-7.541115,0.742423,0.669931,3
map,-4.300404,-7.516247,0.742506,0.669840,3
map,-4.302969,-7.491379,0.742562,0.669778,3
map,-4.305543,-7.466512,0.742595,0.669741,3
map,-4.308114,-7.441645,0.742604,0.669730,3
