extroversion,visual_time,visual_publish_time,visual_N,textual_time,textual_publish_time,textual_N,N_objects,N_words,N_deviations
10,0.15416955947875977,0.5350801944732666,25,0.00017333030700683594,2.6941299438476562e-05,25,1,4,0
10,0.2629365921020508,0.40934252738952637,26,0.00022363662719726562,2.956390380859375e-05,26,1,4,0
10,0.26636219024658203,0.4580667018890381,27,0.00018644332885742188,3.886222839355469e-05,27,1,4,0
10,0.1385946273803711,0.49715709686279297,28,0.00024247169494628906,3.9577484130859375e-05,28,1,4,0
10,1.1668357849121094,1.2599232196807861,29,0.00021600723266601562,3.457069396972656e-05,29,1,4,0
10,0.9253280162811279,0.43714094161987305,30,2.5033950805664062e-05,7.295608520507812e-05,30,2,4,1
10,0.1341414451599121,0.5675206184387207,31,1.1920928955078125e-05,2.6941299438476562e-05,31,2,4,1
10,0.1441185474395752,0.6780996322631836,32,1.811981201171875e-05,4.2438507080078125e-05,32,4,4,1
10,0.155792236328125,0.43750953674316406,33,1.33514404296875e-05,3.838539123535156e-05,33,4,4,1
10,0.2823667526245117,0.4605367183685303,34,2.86102294921875e-05,9.5367431640625e-05,34,4,4,1
10,0.1626434326171875,0.47824645042419434,35,1.9550323486328125e-05,4.172325134277344e-05,35,4,4,1
10,0.14899778366088867,0.4613227844238281,36,1.4781951904296875e-05,3.528594970703125e-05,36,4,4,1
10,0.45619821548461914,0.48136353492736816,37,4.363059997558594e-05,9.965896606445312e-05,37,5,4,1
10,0.15815281867980957,0.4500875473022461,38,1.430511474609375e-05,3.2901763916015625e-05,38,5,4,1
10,0.1625840663909912,0.5199985504150391,39,1.7642974853515625e-05,4.315376281738281e-05,39,5,4,1
10,0.14804935455322266,0.5227775573730469,40,1.4781951904296875e-05,3.528594970703125e-05,40,5,4,1
10,0.22894835472106934,0.8261115550994873,41,0.00029468536376953125,3.266334533691406e-05,41,4,8,1
10,0.1625664234161377,0.6040477752685547,42,0.00046062469482421875,6.198883056640625e-05,42,4,8,1
10,0.45677638053894043,0.7110226154327393,43,0.00025153160095214844,2.6941299438476562e-05,43,4,8,1
10,0.16304588317871094,0.45946359634399414,44,0.0004093647003173828,6.175041198730469e-05,44,4,8,1
10,0.33486318588256836,0.676558256149292,45,0.0004107952117919922,4.601478576660156e-05,45,4,8,1
10,0.17766499519348145,0.4724605083465576,46,0.00018835067749023438,3.1948089599609375e-05,46,3,7,1
10,0.14023900032043457,0.527961254119873,47,0.0005934238433837891,9.131431579589844e-05,47,3,7,1
10,0.4596879482269287,0.5097661018371582,48,0.00025773048400878906,5.269050598144531e-05,48,3,7,1
10,0.15478086471557617,0.7348356246948242,49,0.0007996559143066406,5.054473876953125e-05,49,5,9,1
10,0.14755558967590332,0.614943265914917,50,0.00034928321838378906,3.7670135498046875e-05,50,5,9,1
10,0.15080714225769043,0.5401051044464111,51,0.0003008842468261719,3.910064697265625e-05,51,5,9,1
10,0.1820063591003418,0.5189650058746338,52,0.00030732154846191406,3.552436828613281e-05,52,5,9,1
10,0.1489088535308838,0.5672833919525146,53,0.00030350685119628906,3.0279159545898438e-05,53,5,9,1
10,0.17688632011413574,0.45557260513305664,54,0.0002827644348144531,3.266334533691406e-05,54,5,9,1
10,0.1558833122253418,0.7613823413848877,55,0.00034809112548828125,0.00048828125,55,5,9,1
10,0.12587809562683105,0.6048140525817871,56,0.00029206275939941406,3.838539123535156e-05,56,2,6,1
