frame,local_plan_position_x,local_plan_position_y,local_plan_orientation_z,local_plan_orientation_w,ID
odom,1.129394,-0.606812,0.246439,0.969158,7
odom,1.128559,-0.607266,0.183869,0.982951,7
odom,1.127755,-0.607601,0.121193,0.992629,7
odom,1.127010,-0.607828,0.058821,0.998269,7
odom,1.126347,-0.607968,-0.002862,0.999996,7
odom,1.125785,-0.608043,-0.063504,0.997982,7
odom,1.125334,-0.608081,-0.122794,0.992432,7
odom,1.124997,-0.608109,-0.180474,0.983580,7
odom,1.124855,-0.608184,-0.250292,0.968171,7
odom,1.150352,-0.625409,-0.330454,0.943822,7
odom,1.190944,-0.663765,-0.405844,0.913943,7
odom,1.236699,-0.723118,-0.474561,0.880223,7
odom,1.279728,-0.800276,-0.536498,0.843902,7
odom,1.314892,-0.891037,-0.592207,0.805786,7
odom,1.339292,-0.991458,-0.642481,0.766302,7
odom,1.351476,-1.098596,-0.688252,0.725471,7
odom,1.350548,-1.211404,-0.730721,0.682676,7
odom,1.335052,-1.330537,-0.770972,0.636869,7
odom,1.306658,-1.445719,-0.802742,0.596327,7
odom,1.268741,-1.558251,-0.821362,0.570407,7
odom,1.225763,-1.669294,-0.828402,0.560135,7
odom,1.181125,-1.783071,-0.824125,0.566408,7
odom,1.143669,-1.889248,-0.808468,0.588541,7
odom,1.113519,-1.988565,-0.798169,0.602433,7
odom,1.088980,-2.082617,-0.784593,0.620011,7
odom,1.069633,-2.168922,-0.776776,0.629777,7
odom,1.055488,-2.244195,-0.762548,0.646932,7
odom,1.048488,-2.291995,-0.750685,0.660660,7
odom,1.045094,-2.322592,-0.739332,0.673341,7

odom,1.133589,-0.601213,0.628586,0.777740,8
odom,1.133255,-0.602166,0.571930,0.820303,8
odom,1.132789,-0.603108,0.514122,0.857717,8
odom,1.132205,-0.604005,0.454674,0.890658,8
odom,1.131518,-0.604827,0.393956,0.919129,8
odom,1.130754,-0.605552,0.332315,0.943169,8
odom,1.129941,-0.606163,0.270071,0.962840,8
odom,1.129112,-0.606654,0.207528,0.978229,8
odom,1.128297,-0.607025,0.144972,0.989436,8
odom,1.127525,-0.607286,0.082668,0.996577,8
odom,1.126821,-0.607453,0.020862,0.999782,8
odom,1.126205,-0.607544,-0.040221,0.999191,8
odom,1.125692,-0.607586,-0.100382,0.994949,8
odom,1.125289,-0.607603,-0.159448,0.987206,8
odom,1.125096,-0.607657,-0.228738,0.973488,8
odom,1.148391,-0.621852,-0.306597,0.951839,8
odom,1.186423,-0.654238,-0.381212,0.924487,8
odom,1.231340,-0.706464,-0.450664,0.892694,8
odom,1.275816,-0.777161,-0.514357,0.857576,8
odom,1.314240,-0.863226,-0.572371,0.819995,8
odom,1.342910,-0.961073,-0.625155,0.780500,8
odom,1.359616,-1.067357,-0.673301,0.739368,8
odom,1.363086,-1.180186,-0.717795,0.696254,8
odom,1.351889,-1.299740,-0.759768,0.650194,8
odom,1.326163,-1.416772,-0.797857,0.602846,8
odom,1.290548,-1.525376,-0.821225,0.570605,8
odom,1.248727,-1.630661,-0.833286,0.552843,8
odom,1.206724,-1.729125,-0.835441,0.549580,8
odom,1.169050,-1.819331,-0.829063,0.559155,8
odom,1.136549,-1.904238,-0.818539,0.574451,8
odom,1.109624,-1.984806,-0.804182,0.594383,8
odom,1.087107,-2.061088,-0.797599,0.603188,8
odom,1.068426,-2.133102,-0.783962,0.620808,8
odom,1.054101,-2.200885,-0.769261,0.638934,8
odom,1.043870,-2.261088,-0.758461,0.651719,8
odom,1.036552,-2.319524,-0.740537,0.672016,8

odom,1.133513,-0.601529,0.608465,0.793581,9
odom,1.133120,-0.602521,0.557467,0.830199,9
odom,1.132605,-0.603498,0.504309,0.863523,9
odom,1.131975,-0.604429,0.449166,0.893448,9
odom,1.131245,-0.605287,0.392305,0.919835,9
odom,1.130437,-0.606049,0.334012,0.942569,9
odom,1.129578,-0.606700,0.274588,0.961562,9
odom,1.128695,-0.607231,0.214341,0.976759,9
odom,1.127820,-0.607640,0.153571,0.988138,9
odom,1.126982,-0.607933,0.092575,0.995706,9
odom,1.126207,-0.608124,0.031634,0.999499,9
odom,1.125519,-0.608231,-0.028988,0.999580,9
odom,1.124932,-0.608279,-0.089043,0.996028,9
odom,1.124459,-0.608293,-0.148304,0.988942,9
odom,1.124220,-0.608339,-0.216868,0.976201,9
odom,1.146468,-0.621120,-0.293065,0.956093,9
odom,1.183324,-0.650678,-0.366761,0.930315,9
odom,1.228002,-0.699423,-0.436108,0.899894,9
odom,1.273542,-0.766859,-0.500278,0.865865,9
odom,1.314142,-0.850435,-0.559091,0.829106,9
odom,1.345709,-0.946744,-0.612809,0.790231,9
odom,1.365678,-1.052387,-0.661917,0.749577,9
odom,1.372557,-1.165282,-0.707343,0.706871,9
odom,1.364872,-1.285311,-0.750177,0.661237,9
odom,1.341562,-1.407183,-0.790063,0.613026,9
odom,1.305054,-1.524030,-0.820503,0.571642,9
odom,1.259042,-1.637630,-0.837672,0.546174,9
odom,1.211140,-1.743342,-0.843192,0.537613,9
odom,1.166698,-1.840873,-0.838815,0.544417,9
odom,1.127097,-1.936406,-0.824070,0.566488,9
odom,1.096604,-2.026598,-0.800457,0.599390,9
odom,1.074858,-2.107915,-0.785639,0.618686,9
odom,1.057770,-2.183629,-0.776215,0.630468,9
odom,1.045320,-2.251172,-0.760390,0.649467,9
odom,1.036552,-2.319524,-0.740537,0.672016,9

odom,1.133407,-0.601887,0.587938,0.808906,10
odom,1.132952,-0.602871,0.526912,0.849920,10
odom,1.132366,-0.603817,0.468075,0.883689,10
