tf_odom_map_tran_x,tf_odom_map_tran_y,tf_odom_map_tran_z,tf_odom_map_rot_x,tf_odom_map_rot_y,tf_odom_map_rot_z,tf_odom_map_rot_w
0.045420,0.155094,0.000000,0.000000,0.000000,-0.010564,0.999944
0.045420,0.155094,0.000000,0.000000,0.000000,-0.010564,0.999944
0.045420,0.155094,0.000000,0.000000,0.000000,-0.010564,0.999944
0.045420,0.155094,0.000000,0.000000,0.000000,-0.010564,0.999944
0.045420,0.155094,0.000000,0.000000,0.000000,-0.010564,0.999944
0.056430,0.141829,0.000000,0.000000,0.000000,-0.012063,0.999927
0.056430,0.141829,0.000000,0.000000,0.000000,-0.012063,0.999927
0.056430,0.141829,0.000000,0.000000,0.000000,-0.012063,0.999927
0.056430,0.141829,0.000000,0.000000,0.000000,-0.012063,0.999927
0.049310,0.142320,0.000000,0.000000,0.000000,-0.012073,0.999927
0.049310,0.142320,0.000000,0.000000,0.000000,-0.012073,0.999927
0.049310,0.142320,0.000000,0.000000,0.000000,-0.012073,0.999927
0.049310,0.142320,0.000000,0.000000,0.000000,-0.012073,0.999927
0.060217,0.139383,0.000000,0.000000,0.000000,-0.013691,0.999906
0.060217,0.139383,0.000000,0.000000,0.000000,-0.013691,0.999906
0.060217,0.139383,0.000000,0.000000,0.000000,-0.013691,0.999906
0.044842,0.148212,0.000000,0.000000,0.000000,-0.012203,0.999926
0.044842,0.148212,0.000000,0.000000,0.000000,-0.012203,0.999926
0.044842,0.148212,0.000000,0.000000,0.000000,-0.012203,0.999926
0.044842,0.148212,0.000000,0.000000,0.000000,-0.012203,0.999926
0.044842,0.148212,0.000000,0.000000,0.000000,-0.012203,0.999926
0.038826,0.154068,0.000000,0.000000,0.000000,-0.011656,0.999932
0.038826,0.154068,0.000000,0.000000,0.000000,-0.011656,0.999932
0.038826,0.154068,0.000000,0.000000,0.000000,-0.011656,0.999932
0.028351,0.162742,0.000000,0.000000,0.000000,-0.010513,0.999945
0.028351,0.162742,0.000000,0.000000,0.000000,-0.010513,0.999945
0.028351,0.162742,0.000000,0.000000,0.000000,-0.010513,0.999945
0.028351,0.162742,0.000000,0.000000,0.000000,-0.010513,0.999945
0.028351,0.162742,0.000000,0.000000,0.000000,-0.010513,0.999945
0.024961,0.158324,0.000000,0.000000,0.000000,-0.010825,0.999941
0.024961,0.158324,0.000000,0.000000,0.000000,-0.010825,0.999941
0.024961,0.158324,0.000000,0.000000,0.000000,-0.010825,0.999941
0.024961,0.158324,0.000000,0.000000,0.000000,-0.010825,0.999941
0.005918,0.177177,0.000000,0.000000,0.000000,-0.008446,0.999964
0.005918,0.177177,0.000000,0.000000,0.000000,-0.008446,0.999964
0.005918,0.177177,0.000000,0.000000,0.000000,-0.008446,0.999964
0.005918,0.177177,0.000000,0.000000,0.000000,-0.008446,0.999964
0.005918,0.177177,0.000000,0.000000,0.000000,-0.008446,0.999964
0.024997,0.180086,0.000000,0.000000,0.000000,-0.008307,0.999965
0.024997,0.180086,0.000000,0.000000,0.000000,-0.008307,0.999965
0.024997,0.180086,0.000000,0.000000,0.000000,-0.008307,0.999965
0.024997,0.180086,0.000000,0.000000,0.000000,-0.008307,0.999965
-0.009186,0.197469,0.000000,0.000000,0.000000,-0.006198,0.999981
-0.009186,0.197469,0.000000,0.000000,0.000000,-0.006198,0.999981
-0.009186,0.197469,0.000000,0.000000,0.000000,-0.006198,0.999981
