tf_map_odom_tran_x,tf_map_odom_tran_y,tf_map_odom_tran_z,tf_map_odom_rot_x,tf_map_odom_rot_y,tf_map_odom_rot_z,tf_map_odom_rot_w
-0.021528,-0.158827,0.000000,0.000000,0.000000,0.010825,0.999941
-0.002925,-0.177252,0.000000,0.000000,0.000000,0.008446,0.999964
-0.002925,-0.177252,0.000000,0.000000,0.000000,0.008446,0.999964
-0.002925,-0.177252,0.000000,0.000000,0.000000,0.008446,0.999964
-0.002925,-0.177252,0.000000,0.000000,0.000000,0.008446,0.999964
-0.002925,-0.177252,0.000000,0.000000,0.000000,0.008446,0.999964
-0.022002,-0.180476,0.000000,0.000000,0.000000,0.008307,0.999965
-0.022002,-0.180476,0.000000,0.000000,0.000000,0.008307,0.999965
-0.022002,-0.180476,0.000000,0.000000,0.000000,0.008307,0.999965
-0.022002,-0.180476,0.000000,0.000000,0.000000,0.008307,0.999965
0.011633,-0.197340,0.000000,0.000000,0.000000,0.006198,0.999981
0.011633,-0.197340,0.000000,0.000000,0.000000,0.006198,0.999981
0.011633,-0.197340,0.000000,0.000000,0.000000,0.006198,0.999981
0.011633,-0.197340,0.000000,0.000000,0.000000,0.006198,0.999981
0.011633,-0.197340,0.000000,0.000000,0.000000,0.006198,0.999981
0.017428,-0.200148,0.000000,0.000000,0.000000,0.005089,0.999987
0.017428,-0.200148,0.000000,0.000000,0.000000,0.005089,0.999987
0.017428,-0.200148,0.000000,0.000000,0.000000,0.005089,0.999987
0.017428,-0.200148,0.000000,0.000000,0.000000,0.005089,0.999987
0.017428,-0.200148,0.000000,0.000000,0.000000,0.005089,0.999987
-0.017125,-0.181886,0.000000,0.000000,0.000000,0.008297,0.999966
-0.017125,-0.181886,0.000000,0.000000,0.000000,0.008297,0.999966
-0.017125,-0.181886,0.000000,0.000000,0.000000,0.008297,0.999966
-0.017125,-0.181886,0.000000,0.000000,0.000000,0.008297,0.999966
-0.017125,-0.181886,0.000000,0.000000,0.000000,0.008297,0.999966
-0.042939,-0.163853,0.000000,0.000000,0.000000,0.010206,0.999948
-0.042939,-0.163853,0.000000,0.000000,0.000000,0.010206,0.999948
-0.042939,-0.163853,0.000000,0.000000,0.000000,0.010206,0.999948
-0.042939,-0.163853,0.000000,0.000000,0.000000,0.010206,0.999948
-0.042939,-0.163853,0.000000,0.000000,0.000000,0.010206,0.999948
-0.042939,-0.163853,0.000000,0.000000,0.000000,0.010206,0.999948
-0.035966,-0.169628,0.000000,0.000000,0.000000,0.009584,0.999954
-0.035966,-0.169628,0.000000,0.000000,0.000000,0.009584,0.999954
-0.035966,-0.169628,0.000000,0.000000,0.000000,0.009584,0.999954
-0.035966,-0.169628,0.000000,0.000000,0.000000,0.009584,0.999954
-0.035966,-0.169628,0.000000,0.000000,0.000000,0.009584,0.999954
-0.031695,-0.164943,0.000000,0.000000,0.000000,0.010405,0.999946
-0.031695,-0.164943,0.000000,0.000000,0.000000,0.010405,0.999946
