frame,footprint_x,footprint_y,footprint_z,ID
odom,0.598158,-0.211647,0.000000,22
odom,0.555534,-0.113177,0.000000,22
odom,0.467098,-0.022062,0.000000,22
odom,0.367329,0.017428,0.000000,22
odom,0.260043,0.015731,0.000000,22
odom,0.161573,-0.026893,0.000000,22
odom,0.070458,-0.115329,0.000000,22
odom,0.030969,-0.215098,0.000000,22
odom,0.032665,-0.322384,0.000000,22
odom,0.075289,-0.420854,0.000000,22
odom,0.163725,-0.511969,0.000000,22
odom,0.263494,-0.551458,0.000000,22
odom,0.370780,-0.549762,0.000000,22

odom,0.492804,-0.551029,0.000000,23
odom,0.579749,-0.472552,0.000000,23
odom,0.624204,-0.374895,0.000000,23
odom,0.627904,-0.267659,0.000000,23
odom,0.590285,-0.167170,0.000000,23
odom,0.506542,-0.071724,0.000000,23
odom,0.408885,-0.027268,0.000000,23
odom,0.301649,-0.023569,0.000000,23
odom,0.201160,-0.061188,0.000000,23
odom,0.105714,-0.144930,0.000000,23
odom,0.061259,-0.242588,0.000000,23
odom,0.057559,-0.349824,0.000000,23
odom,0.095179,-0.450312,0.000000,23
odom,0.178921,-0.545758,0.000000,23
odom,0.276578,-0.590214,0.000000,23
odom,0.383814,-0.593914,0.000000,23

odom,0.505736,-0.601477,0.000000,24
odom,0.596512,-0.527466,0.000000,24
odom,0.645816,-0.432164,0.000000,24
odom,0.654896,-0.325250,0.000000,24
odom,0.622371,-0.222998,0.000000,24
odom,0.543528,-0.123467,0.000000,24
odom,0.448226,-0.074164,0.000000,24
odom,0.341311,-0.065083,0.000000,24
odom,0.239060,-0.097608,0.000000,24
odom,0.139529,-0.176452,0.000000,24
odom,0.090225,-0.271753,0.000000,24
odom,0.081145,-0.378668,0.000000,24
odom,0.113670,-0.480919,0.000000,24
odom,0.192514,-0.580451,0.000000,24
odom,0.287815,-0.629754,0.000000,24
odom,0.394730,-0.638835,0.000000,24

odom,0.516066,-0.652406,0.000000,25
odom,0.610444,-0.583046,0.000000,25
odom,0.664471,-0.490341,0.000000,25
odom,0.678909,-0.384017,0.000000,25
odom,0.651559,-0.280261,0.000000,25
odom,0.577814,-0.176896,0.000000,25
odom,0.485108,-0.122869,0.000000,25
odom,0.378784,-0.108431,0.000000,25
odom,0.275029,-0.135781,0.000000,25
odom,0.171664,-0.209527,0.000000,25
odom,0.117637,-0.302232,0.000000,25
odom,0.103199,-0.408556,0.000000,25
odom,0.130548,-0.512311,0.000000,25
odom,0.204294,-0.615676,0.000000,25
odom,0.296999,-0.669703,0.000000,25
odom,0.403323,-0.684141,0.000000,25

odom,0.523853,-0.703851,0.000000,26
odom,0.621594,-0.639318,0.000000,26
odom,0.680208,-0.549442,0.000000,26
odom,0.699967,-0.443977,0.000000,26
odom,0.677862,-0.338979,0.000000,26
odom,0.609399,-0.232042,0.000000,26
odom,0.519523,-0.173428,0.000000,26
odom,0.414059,-0.153669,0.000000,26
odom,0.309061,-0.175775,0.000000,26
odom,0.202123,-0.244237,0.000000,26
odom,0.143509,-0.334113,0.000000,26
odom,0.123751,-0.439578,0.000000,26
odom,0.145856,-0.544576,0.000000,26
odom,0.214319,-0.651513,0.000000,26
odom,0.304194,-0.710127,0.000000,26
odom,0.409659,-0.729885,0.000000,26

odom,0.529075,-0.755574,0.000000,27
odom,0.629925,-0.696016,0.000000,27
odom,0.692966,-0.609189,0.000000,27
odom,0.717981,-0.504845,0.000000,27
odom,0.701161,-0.398872,0.000000,27
odom,0.638139,-0.288641,0.000000,27
odom,0.551311,-0.225600,0.000000,27
odom,0.446968,-0.200586,0.000000,27
odom,0.340995,-0.217406,0.000000,27
odom,0.230763,-0.280428,0.000000,27
odom,0.167722,-0.367256,0.000000,27
odom,0.142708,-0.471599,0.000000,27
odom,0.159528,-0.577572,0.000000,27
odom,0.222550,-0.687803,0.000000,27
odom,0.309378,-0.750844,0.000000,27
odom,0.413721,-0.775859,0.000000,27

odom,0.531743,-0.807496,0.000000,28
odom,0.635442,-0.753049,0.000000,28
odom,0.702741,-0.669478,0.000000,28
odom,0.732936,-0.566515,0.000000,28
odom,0.721430,-0.459834,0.000000,28
odom,0.663992,-0.346593,0.000000,28
odom,0.580421,-0.279294,0.000000,28
odom,0.477458,-0.249099,0.000000,28
odom,0.370777,-0.260605,0.000000,28
odom,0.257535,-0.318042,0.000000,28
odom,0.190236,-0.401613,0.000000,28
odom,0.160041,-0.504577,0.000000,28
odom,0.171547,-0.611258,0.000000,28
odom,0.228985,-0.724499,0.000000,28
odom,0.312556,-0.791798,0.000000,28
odom,0.415520,-0.821993,0.000000,28

odom,0.531815,-0.859482,0.000000,29
odom,0.638104,-0.810282,0.000000,29
odom,0.709493,-0.730177,0.000000,29
odom,0.744792,-0.628849,0.000000,29
odom,0.738628,-0.521727,0.000000,29
odom,0.686917,-0.405758,0.000000,29
odom,0.606812,-0.334370,0.000000,29
odom,0.505484,-0.299071,0.000000,29
odom,0.398362,-0.305235,0.000000,29
odom,0.282393,-0.356946,0.000000,29
odom,0.211005,-0.437051,0.000000,29
odom,0.175706,-0.538378,0.000000,29
odom,0.181870,-0.645501,0.000000,29
odom,0.233581,-0.761469,0.000000,29
odom,0.313686,-0.832858,0.000000,29
odom,0.415013,-0.868157,0.000000,29

odom,0.529302,-0.911403,0.000000,30
odom,0.637914,-0.867568,0.000000,30
odom,0.713211,-0.791125,0.000000,30
odom,0.753523,-0.691686,0.000000,30
odom,0.752713,-0.584389,0.000000,30
odom,0.706853,-0.465985,0.000000,30
odom,0.630410,-0.390687,0.000000,30
odom,0.530971,-0.350376,0.000000,30
odom,0.423674,-0.351186,0.000000,30
odom,0.305270,-0.397045,0.000000,30
odom,0.229972,-0.473488,0.000000,30
odom,0.189661,-0.572928,0.000000,30
