tf_map_odom_tran_x,tf_map_odom_tran_y,tf_map_odom_tran_z,tf_map_odom_rot_x,tf_map_odom_rot_y,tf_map_odom_rot_z,tf_map_odom_rot_w
-0.003366,-0.153065,0.000000,0.000000,0.000000,0.005780,0.999983
-0.003366,-0.153065,0.000000,0.000000,0.000000,0.005780,0.999983
-0.003366,-0.153065,0.000000,0.000000,0.000000,0.005780,0.999983
-0.003366,-0.153065,0.000000,0.000000,0.000000,0.005780,0.999983
-0.003366,-0.153065,0.000000,0.000000,0.000000,0.005780,0.999983
-0.003366,-0.153065,0.000000,0.000000,0.000000,0.005780,0.999983
-0.004254,-0.155784,0.000000,0.000000,0.000000,0.005993,0.999982
-0.004254,-0.155784,0.000000,0.000000,0.000000,0.005993,0.999982
-0.004254,-0.155784,0.000000,0.000000,0.000000,0.005993,0.999982
-0.004254,-0.155784,0.000000,0.000000,0.000000,0.005993,0.999982
-0.004254,-0.155784,0.000000,0.000000,0.000000,0.005993,0.999982
-0.027423,-0.152718,0.000000,0.000000,0.000000,0.006977,0.999976
-0.027423,-0.152718,0.000000,0.000000,0.000000,0.006977,0.999976
-0.027423,-0.152718,0.000000,0.000000,0.000000,0.006977,0.999976
-0.027423,-0.152718,0.000000,0.000000,0.000000,0.006977,0.999976
-0.059281,-0.143782,0.000000,0.000000,0.000000,0.008679,0.999962
-0.059281,-0.143782,0.000000,0.000000,0.000000,0.008679,0.999962
-0.059281,-0.143782,0.000000,0.000000,0.000000,0.008679,0.999962
-0.059281,-0.143782,0.000000,0.000000,0.000000,0.008679,0.999962
-0.059281,-0.143782,0.000000,0.000000,0.000000,0.008679,0.999962
-0.062544,-0.149722,0.000000,0.000000,0.000000,0.008627,0.999963
-0.062544,-0.149722,0.000000,0.000000,0.000000,0.008627,0.999963
-0.062544,-0.149722,0.000000,0.000000,0.000000,0.008627,0.999963
-0.062544,-0.149722,0.000000,0.000000,0.000000,0.008627,0.999963
-0.062544,-0.149722,0.000000,0.000000,0.000000,0.008627,0.999963
-0.071443,-0.150112,0.000000,0.000000,0.000000,0.008810,0.999961
-0.071443,-0.150112,0.000000,0.000000,0.000000,0.008810,0.999961
-0.071443,-0.150112,0.000000,0.000000,0.000000,0.008810,0.999961
-0.071443,-0.150112,0.000000,0.000000,0.000000,0.008810,0.999961
-0.071443,-0.150112,0.000000,0.000000,0.000000,0.008810,0.999961
-0.072362,-0.159274,0.000000,0.000000,0.000000,0.008679,0.999962
-0.072362,-0.159274,0.000000,0.000000,0.000000,0.008679,0.999962
-0.072362,-0.159274,0.000000,0.000000,0.000000,0.008679,0.999962
-0.072362,-0.159274,0.000000,0.000000,0.000000,0.008679,0.999962
-0.072362,-0.159274,0.000000,0.000000,0.000000,0.008679,0.999962
-0.064508,-0.150280,0.000000,0.000000,0.000000,0.008108,0.999967
-0.064508,-0.150280,0.000000,0.000000,0.000000,0.008108,0.999967
-0.064508,-0.150280,0.000000,0.000000,0.000000,0.008108,0.999967
-0.064508,-0.150280,0.000000,0.000000,0.000000,0.008108,0.999967
-0.041284,-0.159114,0.000000,0.000000,0.000000,0.007180,0.999974
-0.041284,-0.159114,0.000000,0.000000,0.000000,0.007180,0.999974
-0.041284,-0.159114,0.000000,0.000000,0.000000,0.007180,0.999974
-0.041284,-0.159114,0.000000,0.000000,0.000000,0.007180,0.999974
-0.017423,-0.153914,0.000000,0.000000,0.000000,0.005762,0.999983
-0.017423,-0.153914,0.000000,0.000000,0.000000,0.005762,0.999983
-0.017423,-0.153914,0.000000,0.000000,0.000000,0.005762,0.999983
-0.017423,-0.153914,0.000000,0.000000,0.000000,0.005762,0.999983
-0.035830,-0.152920,0.000000,0.000000,0.000000,0.006887,0.999976
-0.035830,-0.152920,0.000000,0.000000,0.000000,0.006887,0.999976
-0.035830,-0.152920,0.000000,0.000000,0.000000,0.006887,0.999976
-0.035830,-0.152920,0.000000,0.000000,0.000000,0.006887,0.999976
-0.018368,-0.156050,0.000000,0.000000,0.000000,0.006189,0.999981
-0.018368,-0.156050,0.000000,0.000000,0.000000,0.006189,0.999981
-0.018368,-0.156050,0.000000,0.000000,0.000000,0.006189,0.999981
-0.018368,-0.156050,0.000000,0.000000,0.000000,0.006189,0.999981
-0.007998,-0.159919,0.000000,0.000000,0.000000,0.005662,0.999984
-0.007998,-0.159919,0.000000,0.000000,0.000000,0.005662,0.999984
-0.007998,-0.159919,0.000000,0.000000,0.000000,0.005662,0.999984
-0.007998,-0.159919,0.000000,0.000000,0.000000,0.005662,0.999984
-0.020019,-0.156582,0.000000,0.000000,0.000000,0.006580,0.999978
-0.020019,-0.156582,0.000000,0.000000,0.000000,0.006580,0.999978
-0.020019,-0.156582,0.000000,0.000000,0.000000,0.006580,0.999978
-0.020019,-0.156582,0.000000,0.000000,0.000000,0.006580,0.999978
0.016562,-0.160310,0.000000,0.000000,0.000000,0.005052,0.999987
